Temperature	300 K	315 K	330 K	345 K	360 K	400 K	415 K	430 K	445 K
Time	AI	AI	AI	AI	AI	AI	AI	AI	AI
78.7058E+0	62.1728E-9	68.6656E-9	75.2196E-9	85.0013E-9	88.8563E-9	86.0667E-9	85.9224E-9	72.7019E-9	76.1714E-9
79.7383E+0	61.5603E-9	68.3918E-9	75.2862E-9	83.8511E-9	88.7575E-9	85.3063E-9	85.7822E-9	72.1643E-9	75.8915E-9
80.7708E+0	61.4228E-9	68.1245E-9	74.9551E-9	83.5368E-9	87.8465E-9	84.3643E-9	84.7588E-9	72.2724E-9	75.6377E-9
81.8033E+0	61.2465E-9	68.0435E-9	75.0105E-9	83.1064E-9	87.8526E-9	83.7413E-9	83.6569E-9	71.9234E-9	75.5564E-9
82.8358E+0	60.8158E-9	68.1077E-9	73.6632E-9	83.0524E-9	86.9683E-9	83.2787E-9	82.5703E-9	71.7535E-9	75.0912E-9
83.8683E+0	60.9280E-9	67.9428E-9	73.4164E-9	82.3209E-9	85.8850E-9	82.2788E-9	81.6458E-9	71.2133E-9	74.7519E-9
84.9009E+0	60.8457E-9	67.5376E-9	73.3708E-9	81.7920E-9	85.5118E-9	81.5471E-9	81.4466E-9	71.2059E-9	74.6019E-9
85.9334E+0	60.6538E-9	67.1261E-9	73.4976E-9	81.8151E-9	84.9453E-9	80.8716E-9	80.2686E-9	71.1691E-9	74.4343E-9
86.9659E+0	60.4699E-9	66.9468E-9	72.9208E-9	81.1927E-9	84.0021E-9	80.4691E-9	80.0721E-9	70.8269E-9	74.3357E-9
87.9984E+0	60.2608E-9	67.0501E-9	72.5855E-9	81.0091E-9	83.1713E-9	79.7213E-9	79.3161E-9	70.8363E-9	73.6892E-9
89.0308E+0	59.9174E-9	66.9381E-9	72.2968E-9	80.4192E-9	83.2904E-9	78.8748E-9	78.3456E-9	70.4703E-9	73.2197E-9
90.0633E+0	59.9691E-9	65.9858E-9	72.3392E-9	80.3567E-9	82.3625E-9	78.5078E-9	77.5515E-9	70.4341E-9	74.1072E-9
91.0959E+0	59.9786E-9	66.0404E-9	71.9364E-9	79.8231E-9	82.5533E-9	77.6613E-9	77.0813E-9	70.1678E-9	73.4602E-9
92.1284E+0	59.9010E-9	65.7633E-9	71.8371E-9	79.7817E-9	81.9642E-9	77.1203E-9	76.2808E-9	70.3196E-9	73.4369E-9
93.1609E+0	59.6860E-9	65.5992E-9	71.4669E-9	79.9137E-9	81.4961E-9	76.6128E-9	76.0707E-9	69.9713E-9	72.9726E-9
94.1934E+0	59.7011E-9	65.4275E-9	71.4443E-9	78.8805E-9	80.4765E-9	75.9123E-9	75.1585E-9	70.0399E-9	72.6409E-9
