nm; %R
1067,000000; 0,471305
1066,000000; 0,462345
1065,000000; 0,472239
1064,000000; 0,482975
1063,000000; 0,466162
1062,000000; 0,463499
1061,000000; 0,449931
1060,000000; 0,432018
1059,000000; 0,470238
1058,000000; 0,466286
1057,000000; 0,470437
1056,000000; 0,419731
1055,000000; 0,461842
1054,000000; 0,446801
1053,000000; 0,426968
1052,000000; 0,468956
1051,000000; 0,417026
1050,000000; 0,427035
1049,000000; 0,348232
1048,000000; 0,406664
1047,000000; 0,440842
1046,000000; 0,374319
1045,000000; 0,365032
1044,000000; 0,375060
1043,000000; 0,403049
1042,000000; 0,470517
1041,000000; 0,362922
1040,000000; 0,356299
1039,000000; 0,427386
1038,000000; 0,376525
1037,000000; 0,440208
1036,000000; 0,343973
1035,000000; 0,357800
1034,000000; 0,395488
1033,000000; 0,376102
1032,000000; 0,307853
1031,000000; 0,400280
1030,000000; 0,304194
1029,000000; 0,300832
1028,000000; 0,303577
1027,000000; 0,415510
1026,000000; 0,336238
1025,000000; 0,299380
1024,000000; 0,307617
1023,000000; 0,288936
1022,000000; 0,344986
1021,000000; 0,311248
1020,000000; 0,298245
1019,000000; 0,306668
1018,000000; 0,294944
1017,000000; 0,294534
1016,000000; 0,327737
1015,000000; 0,239618
1014,000000; 0,298342
1013,000000; 0,292898
1012,000000; 0,248847
1011,000000; 0,290222
1010,000000; 0,294212
1009,000000; 0,338405
1008,000000; 0,336997
1007,000000; 0,278810
1006,000000; 0,286758
1005,000000; 0,284986
1004,000000; 0,307896
1003,000000; 0,300355
1002,000000; 0,273253
1001,000000; 0,325160
1000,000000; 0,256802
999,000000; 0,299840
998,000000; 0,268148
997,000000; 0,280392
996,000000; 0,308889
995,000000; 0,326740
994,000000; 0,284301
993,000000; 0,265032
992,000000; 0,249955
991,000000; 0,317386
990,000000; 0,302336
989,000000; 0,216628
988,000000; 0,197979
987,000000; 0,264677
986,000000; 0,283128
985,000000; 0,237991
984,000000; 0,248954
983,000000; 0,314884
982,000000; 0,281866
981,000000; 0,285089
980,000000; 0,206503
979,000000; 0,265673
978,000000; 0,253220
977,000000; 0,245833
976,000000; 0,306896
975,000000; 0,308162
974,000000; 0,234704
973,000000; 0,275934
972,000000; 0,254559
971,000000; 0,238478
970,000000; 0,196135
969,000000; 0,226663
968,000000; 0,181696
967,000000; 0,231123
966,000000; 0,263696
965,000000; 0,210418
964,000000; 0,315897
963,000000; 0,279150
962,000000; 0,299587
961,000000; 0,281991
960,000000; 0,325295
959,000000; 0,279884
958,000000; 0,267686
957,000000; 0,263681
956,000000; 0,317419
955,000000; 0,195072
954,000000; 0,189055
953,000000; 0,265091
952,000000; 0,283453
951,000000; 0,224844
950,000000; 0,193274
949,000000; 0,246480
948,000000; 0,285477
947,000000; 0,286249
946,000000; 0,309705
945,000000; 0,305724
944,000000; 0,264351
943,000000; 0,210248
942,000000; 0,285938
941,000000; 0,344607
940,000000; 0,154465
939,000000; 0,186215
938,000000; 0,298322
937,000000; 0,301513
936,000000; 0,305263
935,000000; 0,229406
934,000000; 0,197000
933,000000; 0,287976
932,000000; 0,335810
931,000000; 0,318195
930,000000; 0,244723
929,000000; 0,252833
928,000000; 0,245605
927,000000; 0,281265
926,000000; 0,213965
925,000000; 0,152470
924,000000; 0,200291
923,000000; 0,205263
922,000000; 0,245436
921,000000; 0,310684
920,000000; 0,296178
919,000000; 0,239519
918,000000; 0,299868
917,000000; 0,331465
916,000000; 0,364756
915,000000; 0,338794
